rho,eigenvals,analytic_eigenvals,eigenvec,analytic_eigenvec
0.01,9.86879,9.86821,0.00444215,0.00444196
0.02,39.4654,39.4631,0.00887992,0.00887953
0.03,88.7607,88.7555,0.0133089,0.0133083
0.04,157.706,157.697,0.0177248,0.017724
0.05,246.233,246.219,0.0221232,0.0221222
0.06,354.255,354.234,0.0264997,0.0264986
0.07,481.665,481.636,0.0308501,0.0308488
0.08,628.337,628.3,0.0351701,0.0351685
0.09,794.126,794.08,0.0394553,0.0394536
0.1,978.87,978.812,0.0437016,0.0436997
0.11,1182.38,1182.32,0.0479048,0.0479027
0.12,1404.47,1404.39,0.0520607,0.0520584
0.13,1644.91,1644.81,0.0561652,0.0561628
0.14,1903.46,1903.35,0.0602143,0.0602117
0.15,2179.87,2179.74,0.064204,0.0642013
0.16,2473.87,2473.72,0.0681303,0.0681274
0.17,2785.16,2785,0.0719893,0.0719863
0.18,3113.44,3113.26,0.0757774,0.0757742
0.19,3458.39,3458.19,0.0794906,0.0794874
0.2,3819.66,3819.44,0.0831254,0.083122
0.21,4196.9,4196.66,0.0866781,0.0866747
0.22,4589.74,4589.48,0.0901454,0.0901418
0.23,4997.78,4997.5,0.0935236,0.09352
0.24,5420.63,5420.32,0.0968096,0.0968059
0.25,5857.86,5857.54,0.1,0.0999962
0.26,6309.06,6308.71,0.103092,0.103088
0.27,6773.76,6773.39,0.106082,0.106078
0.28,7251.52,7251.12,0.108967,0.108963
0.29,7741.86,7741.43,0.111745,0.111741
0.3,8244.29,8243.85,0.114412,0.114408
0.31,8758.33,8757.86,0.116967,0.116963
0.32,9283.46,9282.96,0.119406,0.119402
0.33,9819.17,9818.65,0.121727,0.121723
0.34,10364.9,10364.4,0.123928,0.123925
0.35,10920.2,10919.6,0.126007,0.126003
0.36,11484.4,11483.8,0.127962,0.127958
0.37,12057,12056.4,0.12979,0.129786
0.38,12637.5,12636.9,0.13149,0.131486
0.39,13225.2,13224.6,0.133061,0.133057
0.4,13819.7,13819,0.1345,0.134496
0.41,14420.2,14419.4,0.135806,0.135803
0.42,15026.2,15025.4,0.136978,0.136975
0.43,15637.1,15636.4,0.138015,0.138012
0.44,16252.4,16251.6,0.138916,0.138913
0.45,16871.3,16870.5,0.13968,0.139677
0.46,17493.3,17492.5,0.140306,0.140303
0.47,18117.8,18117,0.140794,0.140791
0.48,18744.2,18743.3,0.141142,0.14114
0.49,19371.8,19370.9,0.141352,0.141349
0.5,20000,19999.1,0.141421,0.141419
0.51,20628.2,20627.3,0.141352,0.14135
0.52,21255.8,21254.8,0.141142,0.141141
0.53,21882.2,21881.2,0.140794,0.140792
0.54,22506.7,22505.7,0.140306,0.140305
0.55,23128.7,23127.7,0.13968,0.139679
0.56,23747.6,23746.6,0.138916,0.138916
0.57,24362.9,24361.8,0.138015,0.138015
0.58,24973.8,24972.8,0.136978,0.136978
0.59,25579.8,25578.8,0.135806,0.135806
0.6,26180.3,26179.3,0.1345,0.1345
0.61,26774.8,26773.7,0.133061,0.133061
0.62,27362.5,27361.4,0.13149,0.131491
0.63,27943,27941.9,0.12979,0.129791
0.64,28515.6,28514.5,0.127962,0.127964
0.65,29079.8,29078.7,0.126007,0.126009
0.66,29635.1,29634,0.123928,0.123931
0.67,30180.8,30179.8,0.121727,0.12173
0.68,30716.5,30715.5,0.119406,0.119409
0.69,31241.7,31240.6,0.116967,0.11697
0.7,31755.7,31754.7,0.114412,0.114416
0.71,32258.1,32257.1,0.111745,0.111749
0.72,32748.5,32747.5,0.108967,0.108971
0.73,33226.2,33225.2,0.106082,0.106086
0.74,33690.9,33689.9,0.103092,0.103097
0.75,34142.1,34141.2,0.1,0.100005
0.76,34579.4,34578.4,0.0968096,0.0968154
0.77,35002.2,35001.3,0.0935236,0.0935298
0.78,35410.3,35409.3,0.0901454,0.0901519
0.79,35803.1,35802.2,0.0866781,0.086685
0.8,36180.3,36179.5,0.0831254,0.0831326
0.81,36541.6,36540.8,0.0794906,0.0794982
0.82,36886.6,36885.7,0.0757774,0.0757853
0.83,37214.8,37214.1,0.0719893,0.0719976
0.84,37526.1,37525.4,0.0681303,0.0681389
0.85,37820.1,37819.4,0.064204,0.0642129
0.86,38096.5,38095.9,0.0602143,0.0602236
0.87,38355.1,38354.5,0.0561652,0.0561748
0.88,38595.5,38594.9,0.0520607,0.0520706
0.89,38817.6,38817.1,0.0479048,0.047915
0.9,39021.1,39020.6,0.0437016,0.0437122
0.91,39205.9,39205.4,0.0394553,0.0394662
0.92,39371.7,39371.2,0.0351701,0.0351812
0.93,39518.3,39518,0.0308501,0.0308616
0.94,39645.7,39645.4,0.0264997,0.0265114
0.95,39753.8,39753.5,0.0221232,0.0221351
0.96,39842.3,39842.1,0.0177248,0.017737
0.97,39911.2,39911.1,0.0133089,0.0133214
0.98,39960.5,39960.4,0.00887992,0.00889261
0.99,39990.1,39990.1,0.00444215,0.00445505
