Cycle,NumberOfFlips,Temperature,MeanEnergy,Magnetization_Abs,HeatCapacity,MagneticSusceptibility
1000000,126666172,2,-1.74541,0.911176,0.729989,0.426527
1000000,143498578,2.04,-1.71509,0.896803,0.811989,0.570695
1000000,162710635,2.08,-1.68089,0.879275,0.906072,0.788426
1000000,184849223,2.12,-1.64206,0.85687,1.02593,1.19007
1000000,210378820,2.16,-1.59798,0.827127,1.1932,2.20192
1000000,240784670,2.2,-1.54615,0.782891,1.43512,5.39669
1000000,277336216,2.24,-1.48462,0.715355,1.73935,12.0673
1000000,323141325,2.28,-1.40836,0.598651,2.04545,25.1157
1000000,371535436,2.32,-1.32907,0.45754,1.84424,29.8958
1000000,414217464,2.36,-1.26088,0.334019,1.49444,25.8558
1000000,449062883,2.4,-1.20684,0.251177,1.21439,18.7536
1000000,478280187,2.44,-1.16277,0.202762,1.02253,13.2169
1000000,504599322,2.48,-1.12419,0.170434,0.909796,9.62016
1000000,528952375,2.52,-1.08916,0.148677,0.831733,7.43315
